Date,contact_compliance,case_symp_compliance,case_positive_test_compliance
1/6/2020,0.6,0.2,0.8
15/6/2020,0.6,0.2,0.8
29/6/2020,0.6,0.2,0.8
13/7/2020,0.6,0.2,0.8
27/7/2020,0.6,0.2,0.8
10/8/2020,0.6,0.2,0.8
24/8/2020,0.6,0.2,0.8
7/9/2020,0.6,0.2,0.8
21/9/2020,0.6,0.2,0.8
5/10/2020,0.6,0.2,0.8
19/10/2020,0.6,0.2,0.8
2/11/2020,0.6,0.2,0.8
16/11/2020,0.6,0.2,0.8
30/11/2020,0.6,0.2,0.8
14/12/2020,0.6,0.2,0.8
28/12/2020,0.6,0.2,0.8
11/1/2021,0.6,0.2,0.8
25/1/2021,0.6,0.2,0.8
8/2/2021,0.6,0.2,0.8
22/2/2021,0.6,0.2,0.8
8/3/2021,0.6,0.2,0.8
22/3/2021,0.6,0.2,0.8
5/4/2021,0.6,0.2,0.8
19/4/2021,0.6,0.2,0.8
3/5/2021,0.6,0.2,0.8
17/5/2021,0.6,0.2,0.8
31/5/2021,0.6,0.2,0.8
