relative_prob_transmission,days_post_infection,proportion_transmission_abated,cumulative_transmission,cumulative_transmission_abated
0.006261733,0.01,1.22E-05,1.22E-05,0.99998777
0.006452389,0.02,1.26E-05,2.48E-05,0.999975168
0.00665055,0.03,1.30E-05,3.78E-05,0.999962178
0.006856608,0.04,1.34E-05,5.12E-05,0.999948786
0.007070985,0.05,1.38E-05,6.50E-05,0.999934976
0.007294122,0.06,1.42E-05,7.93E-05,0.999920729
0.007526483,0.07,1.47E-05,9.40E-05,0.999906029
0.007768554,0.08,1.52E-05,0.000109144,0.999890856
0.008020836,0.09,1.57E-05,0.000124809,0.999875191
0.008283844,0.1,1.62E-05,0.000140989,0.999859011
0.008558107,0.11,1.67E-05,0.000157704,0.999842296
0.008844159,0.12,1.73E-05,0.000174978,0.999825022
0.009142537,0.13,1.79E-05,0.000192834,0.999807166
0.009453784,0.14,1.85E-05,0.000211299,0.999788701
0.009778442,0.15,1.91E-05,0.000230397,0.999769603
0.010117052,0.16,1.98E-05,0.000250157,0.999749843
0.010470153,0.17,2.04E-05,0.000270607,0.999729393
0.010838275,0.18,2.12E-05,0.000291775,0.999708225
0.011221944,0.19,2.19E-05,0.000313693,0.999686307
0.011621672,0.2,2.27E-05,0.000336392,0.999663608
0.012038044,0.21,2.35E-05,0.000359904,0.999640096
0.012471488,0.22,2.44E-05,0.000384262,0.999615738
0.012922475,0.23,2.52E-05,0.000409502,0.999590498
0.013391465,0.24,2.62E-05,0.000435657,0.999564343
0.013878904,0.25,2.71E-05,0.000462764,0.999537236
0.014385224,0.26,2.81E-05,0.00049086,0.99950914
0.014910843,0.27,2.91E-05,0.000519983,0.999480017
0.015456166,0.28,3.02E-05,0.000550171,0.999449829
0.016021582,0.29,3.13E-05,0.000581463,0.999418537
0.016607464,0.3,3.24E-05,0.0006139,0.9993861
0.017214632,0.31,3.36E-05,0.000647522,0.999352478
0.017843043,0.32,3.48E-05,0.000682372,0.999317628
0.018493006,0.33,3.61E-05,0.000718491,0.999281509
0.019164817,0.34,3.74E-05,0.000755923,0.999244077
0.019858758,0.35,3.88E-05,0.000794709,0.999205291
0.020575094,0.36,4.02E-05,0.000834895,0.999165105
0.021314081,0.37,4.16E-05,0.000876524,0.999123476
0.022075957,0.38,4.31E-05,0.000919642,0.999080358
0.022860948,0.39,4.47E-05,0.000964292,0.999035708
0.023669269,0.4,4.62E-05,0.001010521,0.998989479
0.024502406,0.41,4.79E-05,0.001058378,0.998941622
0.025359429,0.42,4.95E-05,0.001107908,0.998892092
0.026240484,0.43,5.13E-05,0.001159159,0.998840841
0.027145703,0.44,5.30E-05,0.001212178,0.998787822
0.028075207,0.45,5.48E-05,0.001267013,0.998732987
0.029029106,0.46,5.67E-05,0.00132371,0.99867629
0.030007498,0.47,5.86E-05,0.001382319,0.998617681
0.031010472,0.48,6.06E-05,0.001442886,0.998557114
0.032038106,0.49,6.26E-05,0.001505461,0.998494539
0.033090467,0.5,6.46E-05,0.001570091,0.998429909
0.034170134,0.51,6.67E-05,0.00163683,0.99836317
0.035274918,0.52,6.89E-05,0.001705726,0.998294274
0.036404821,0.53,7.11E-05,0.00177683,0.99822317
0.037559833,0.54,7.34E-05,0.001850189,0.998149811
0.038739935,0.55,7.57E-05,0.001925853,0.998074147
0.039945102,0.56,7.80E-05,0.002003871,0.997996129
0.0411753,0.57,8.04E-05,0.002084292,0.997915708
0.042430486,0.58,8.29E-05,0.002167164,0.997832836
0.043710611,0.59,8.54E-05,0.002252536,0.997747464
0.045015618,0.6,8.79E-05,0.002340458,0.997659542
0.046349484,0.61,9.05E-05,0.002430984,0.997569016
0.047708498,0.62,9.32E-05,0.002524165,0.997475835
0.049092538,0.63,9.59E-05,0.002620049,0.997379951
0.050501476,0.64,9.86E-05,0.002718685,0.997281315
0.051935178,0.65,0.000101436,0.002820122,0.997179878
0.053393504,0.66,0.000104284,0.002924406,0.997075594
0.054876309,0.67,0.000107181,0.003031587,0.996968413
0.056383443,0.68,0.000110124,0.003141711,0.996858289
0.057914751,0.69,0.000113115,0.003254826,0.996745174
0.05947007,0.7,0.000116153,0.003370979,0.996629021
0.061054958,0.71,0.000119248,0.003490227,0.996509773
0.06266403,0.72,0.000122391,0.003612618,0.996387382
0.064297063,0.73,0.000125581,0.003738198,0.996261802
0.065953835,0.74,0.000128816,0.003867015,0.996132985
0.067634117,0.75,0.000132098,0.003999113,0.996000887
0.069337678,0.76,0.000135426,0.004134539,0.995865461
0.071064282,0.77,0.000138798,0.004273336,0.995726664
0.072813692,0.78,0.000142215,0.004415551,0.995584449
0.074585667,0.79,0.000145676,0.004561227,0.995438773
0.076379963,0.8,0.00014918,0.004710407,0.995289593
0.078203797,0.81,0.000152742,0.004863149,0.995136851
0.080050053,0.82,0.000156348,0.005019497,0.994980503
0.081918434,0.83,0.000159997,0.005179494,0.994820506
0.08380864,0.84,0.000163689,0.005343184,0.994656816
0.08572037,0.85,0.000167423,0.005510607,0.994489393
0.08765332,0.86,0.000171198,0.005681805,0.994318195
0.089607187,0.87,0.000175015,0.00585682,0.99414318
0.091581664,0.88,0.000178871,0.00603569,0.99396431
0.093576447,0.89,0.000182767,0.006218457,0.993781543
0.095591228,0.9,0.000186702,0.00640516,0.99359484
0.097634908,0.91,0.000190694,0.006595853,0.993404147
0.099698644,0.92,0.000194724,0.006790578,0.993209422
0.101782079,0.93,0.000198794,0.006989371,0.993010629
0.103884859,0.94,0.000202901,0.007192272,0.992807728
0.106006628,0.95,0.000207045,0.007399317,0.992600683
0.108147032,0.96,0.000211225,0.007610542,0.992389458
0.110305716,0.97,0.000215441,0.007825983,0.992174017
0.112482327,0.98,0.000219693,0.008045676,0.991954324
