The software license list of Python packages installed with pip.

Name                    Version       License
 Fiona                   1.8.13.post1  BSD License
 GDAL                    3.0.2         MIT License
 Jinja2                  2.11.2        BSD License
 MarkupSafe              1.1.1         BSD License
 Pillow                  7.2.0         Historical Permission Notice and Disclaimer (HPND)
 PySocks                 1.7.1         BSD
 PyYAML                  5.3.1         MIT License
 Pygments                2.7.1         BSD License
 QtPy                    1.9.0         MIT License
 Rtree                   0.9.4         MIT License
 Send2Trash              1.5.0         BSD License
 Shapely                 1.7.1         BSD License
 anaconda-client         1.7.2         BSD License
 anaconda-navigator      1.9.12        UNKNOWN
 applicationinsights     0.11.9        MIT License
 argon2-cffi             20.1.0        MIT License
 arrow                   0.17.0        Apache Software License
 attrs                   20.2.0        MIT License
 backcall                0.2.0         BSD License
 binaryornot             0.4.4         BSD License
 bleach                  3.2.1         Apache Software License
 brotlipy                0.7.0         MIT
 certifi                 2020.6.20     Mozilla Public License 2.0 (MPL 2.0)
 cffi                    1.14.3        MIT License
 chardet                 3.0.4         GNU Library or Lesser General Public License (LGPL)
 click                   7.1.2         BSD License
 click-plugins           1.1.1         BSD License
 cligj                   0.7.0         BSD
 clyent                  1.2.2         BSD
 colorama                0.4.3         BSD License
 conda                   4.9.2         BSD-3-Clause
 conda-package-handling  1.7.0         UNKNOWN
 cookiecutter            1.7.2         BSD License
 cryptography            3.1           Apache Software License, BSD License
 cycler                  0.10.0        BSD
 decorator               4.4.2         BSD License
 defusedxml              0.6.0         Python Software Foundation License
 docopt                  0.6.2         MIT License
 entrypoints             0.3           UNKNOWN
 et-xmlfile              1.1.0         MIT License
 geographiclib           1.50          MIT License
 geopandas               0.8.1         BSD
 geopy                   2.0.0         MIT License
 graphviz                0.16          MIT License
 idna                    2.10          BSD License
 importlib-metadata      1.7.0         Apache Software License
 ipykernel               5.3.4         BSD License
 ipython                 7.18.1        BSD License
 ipython-genutils        0.2.0         BSD License
 ipywidgets              7.5.1         BSD License
 jedi                    0.17.0        MIT License
 jinja2-time             0.2.0         MIT License
 json5                   0.9.5         Apache Software License
 jsonpickle              1.4.1         BSD License
 jsonschema              3.2.0         MIT License
 jupyter                 1.0.0         BSD License
 jupyter-client          6.1.6         BSD License
 jupyter-console         6.2.0         BSD License
 jupyter-core            4.6.3         BSD License
 jupyterlab              2.2.6         BSD License
 jupyterlab-server       1.2.0         BSD License
 kiwisolver              1.3.1         BSD License
 matplotlib              3.4.2         Python Software Foundation License
 menuinst                1.4.16        BSD
 mistune                 0.8.4         BSD License
 mkl-fft                 1.2.0         BSD
 mkl-random              1.1.1         BSD
 mkl-service             2.3.0         BSD
 munch                   2.5.0         MIT License
 nbconvert               5.6.1         BSD License
 nbformat                5.0.7         BSD License
 networkx                2.5           BSD License
 notebook                6.1.1         BSD License
 numpy                   1.19.2        BSD
 olefile                 0.46          BSD License
 openpyxl                3.0.7         MIT License
 packaging               20.4          Apache Software License, BSD License
 pandas                  1.1.3         BSD
 pandocfilters           1.4.2         BSD License
 parso                   0.8.0         MIT License
 pickleshare             0.7.5         MIT License
 pipreqs                 0.4.10        Apache Software License
 poyo                    0.5.0         MIT License
 prometheus-client       0.8.0         Apache Software License
 prompt-toolkit          3.0.7         BSD License
 psutil                  5.7.0         BSD License
 pyOpenSSL               19.1.0        Apache Software License
 pycosat                 0.6.3         MIT
 pycparser               2.20          BSD License
 pydeps                  1.9.13        BSD License
 pyparsing               2.4.7         MIT License
 pyproj                  2.6.1.post1   MIT
 pyrsistent              0.17.3        MIT License
 pyspark                 2.4.4         Apache Software License
 python-dateutil         2.8.1         BSD License, Apache Software License
 python-louvain          0.14          BSD License
 python-slugify          4.0.1         MIT License
 pytz                    2020.1        MIT License
 pyvis                   0.1.8.2       BSD
 pywin32                 227           Python Software Foundation License
 pywinpty                0.5.7         MIT License
 pyzmq                   19.0.2        GNU Library or Lesser General Public License (LGPL), BSD License
 qtconsole               4.7.6         BSD License
 requests                2.24.0        Apache Software License
 ruamel-yaml             0.15.87       UNKNOWN
 sip                     4.19.13       UNKNOWN
 six                     1.15.0        MIT License
 stdlib-list             0.8.0         MIT
 terminado               0.8.3         UNKNOWN
 testpath                0.4.4         BSD License
 text-unidecode          1.3           Artistic License, GNU General Public License (GPL), GNU General Public License v2 or later (GPLv2+)
 tornado                 6.0.4         Apache Software License
 tqdm                    4.49.0        MIT License, Mozilla Public License 2.0 (MPL 2.0)
 traitlets               4.3.3         BSD License
 ttds                    0.1a0         UNKNOWN
 urllib3                 1.25.10       MIT License
 wcwidth                 0.2.5         MIT License
 webencodings            0.5.1         BSD License
 widgetsnbextension      3.5.1         BSD License
 win-inet-pton           1.1.0         This software released into the public domain. Anyone is free to copy,
 wincertstore            0.2           Python Software Foundation License
 xlrd                    1.2.0         BSD License
 xmltodict               0.12.0        MIT License
 yarg                    0.1.9         MIT License
 zipp                    3.1.0         MIT License
